Index,Exp x0,Exp a,Exp b,Exp fcalls,Fib x,Fib y,Fib fcalls,Lag x,Lag y,Lag fcalls
0,-97.76555028,-73.46555028,120.9344497,20,9.35E-10,-7.16E-18,27,-0.00010497,2.20E-13,16
1,-65.40954038,-41.10954038,153.2904596,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
2,82.79402952,9.894029523,74.69402952,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
3,54.96237955,57.66237955,79.26237955,16,9.35E-10,-7.16E-18,27,-9.95E-05,1.98E-13,16
4,83.11550589,10.21550589,75.01550589,20,9.35E-10,-7.16E-18,27,-0.000107203,2.30E-13,16
5,-70.1683596,-45.8683596,148.5316404,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
6,-27.03576275,-18.93576275,45.86423725,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
7,-80.9194465,-56.6194465,137.7805535,20,9.35E-10,-7.16E-18,27,-1.13E-05,2.56E-15,16
8,52.5329903,55.2329903,76.8329903,16,9.35E-10,-7.16E-18,27,-2.98E-05,1.77E-14,16
9,-61.295802,-36.995802,157.404198,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
10,-56.2718805,-31.9718805,162.4281195,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
11,62.38167045,62.48167045,63.28167045,10,9.35E-10,-7.16E-18,27,-1.13E-05,2.55E-15,16
12,8.657616697,-15.6423833,5.957616697,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
13,-91.46423014,-67.16423014,127.2357699,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
14,-59.01555556,-34.71555556,159.6844444,20,9.35E-10,-7.16E-18,27,-0.000104969,2.20E-13,16
15,21.54915457,-51.35084543,13.44915457,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
16,-89.51216801,-65.21216801,129.187832,20,9.35E-10,-7.16E-18,27,-0.000104971,2.20E-13,16
17,41.85047749,-31.04952251,33.75047749,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
18,-98.1259153,-73.8259153,120.5740847,20,9.35E-10,-7.16E-18,27,-0.000104969,2.20E-13,16
19,-78.88197711,-54.58197711,139.8180229,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
20,-0.262318003,-0.162318003,0.637681997,10,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
21,45.83687554,53.93687554,118.7368755,18,9.35E-10,-7.16E-18,27,-2.30E-05,1.06E-14,16
22,90.47293823,17.57293823,82.37293823,20,9.35E-10,-7.16E-18,27,-0.000107746,2.32E-13,16
23,-18.91035543,5.389644567,199.7896446,20,9.35E-10,-7.16E-18,27,-0.00010498,2.20E-13,16
24,46.28970788,54.38970788,119.1897079,18,9.35E-10,-7.16E-18,27,-0.000112027,2.51E-13,16
25,32.08495405,-40.81504595,23.98495405,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
26,-71.9499809,-47.6499809,146.7500191,20,9.35E-10,-7.16E-18,27,-0.000104993,2.20E-13,16
27,45.07884584,-27.82115416,36.97884584,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
28,78.98038525,6.080385253,70.88038525,20,9.35E-10,-7.16E-18,27,-0.00010498,2.20E-13,16
29,62.22337789,62.32337789,63.12337789,10,9.35E-10,-7.16E-18,27,-1.13E-05,2.56E-15,16
30,87.32824674,14.42824674,79.22824674,20,9.35E-10,-7.16E-18,27,-2.53E-05,1.28E-14,16
